Country,year,Urban population growth (annual %),Rural population growth (annual %),Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","GNI per capita, Atlas method (current US$)","Primary education, duration (years)","Inflation, consumer prices (annual %)",Access to electricity (% of population),People using at least basic drinking water services (% of population),Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,suicides_no,suicides/100k pop,gdp_per_capita ($),sex,age,generation
Albania,2007,1.4922150695281802,-2.86073390854208,76.80249426,0.330698001,6.108980067474509,3460.0,4.0,2.93268248162318,100.0,87.9950401792485,4.6339999999999995,9.142000000000001,0.821,65.8,0.529,-0.009000000000000001,0.875,10.333333333333334,5.4875,3863.0,0.0,3.0,3.0
Albania,2009,1.47328791317413,-2.8673957028984303,83.16046357,3.1053437230000003,11.1601865833762,4280.0,5.0,2.23139683475865,100.0,88.06392235434579,5.485,9.262,0.833,66.2,0.525,-0.158,0.8640000000000001,0.0,0.0,4387.0,1.0,5.0,5.0
Albania,2010,1.6093732644722398,-2.7432914932117005,91.56092875,3.58912099,9.13989822890841,4360.0,5.0,3.61538461538463,100.0,88.08949232544559,5.269,9.302999999999999,0.733,66.4,0.569,-0.172,0.726,8.0,3.4716666666666662,4359.0,1.0,3.0,3.0
Armenia,2007,-1.0205033619889,-0.587614387668032,63.97460533,0.132967117,7.25233197719082,2760.0,3.0,4.407360896445191,99.3310394287109,97.1087773913203,4.882,9.181000000000001,0.76,64.9,0.605,-0.251,0.8170000000000001,5.916666666666667,3.2516666666666665,3366.0,0.0,3.0,3.0
Armenia,2008,-1.00584350604332,-0.577658014846207,49.58359409,0.47448267299999997,8.09234920917782,3600.0,3.0,8.949953353533859,99.4156494140625,97.2862984413327,4.652,9.256,0.7090000000000001,65.0,0.462,-0.215,0.8759999999999999,5.25,2.9291666666666667,3829.0,0.0,5.0,5.0
Armenia,2009,-0.834740483723228,-0.40282305026809706,75.86762234,1.3808841980000002,8.788694552480889,3330.0,3.0,3.4067668268379903,99.5198135375976,97.46094455648209,4.178,9.111,0.68,65.1,0.441,-0.214,0.882,4.416666666666667,2.8083333333333336,3215.0,1.0,3.0,3.0
Armenia,2010,-0.548519556699365,-0.117142812177539,134.3391104,3.252550732,5.716037845460041,3470.0,3.0,8.17636138473956,99.8,97.6376546990975,4.368,9.136000000000001,0.66,65.2,0.45899999999999996,-0.17600000000000002,0.8909999999999999,6.083333333333333,3.367500000000001,3460.0,0.0,1.0,2.0
Armenia,2011,-0.217892192595373,0.21299707549322897,111.67186740000001,5.584019369,6.44066836705362,3530.0,4.0,7.6500080785929,99.76715087890621,97.7658533986418,4.26,9.182,0.705,65.36,0.465,-0.225,0.875,5.583333333333333,2.7483333333333335,3798.0,1.0,3.0,3.0
Armenia,2012,0.0622406659096911,0.492718812960743,115.29933840000001,7.358040919,4.67672787765567,3880.0,4.0,2.55802007757907,99.87887573242192,97.71744410055429,4.32,9.249,0.6759999999999999,65.52,0.502,-0.215,0.893,6.583333333333333,3.0475000000000008,3773.0,0.0,3.0,3.0
Armenia,2013,0.281027190997132,0.60774270835574,115.64764440000002,8.400112112999999,3.1119314812579604,4120.0,4.0,5.78966778544654,99.9540557861328,97.6700511765069,4.277,9.277000000000001,0.723,65.68,0.504,-0.195,0.9,5.583333333333333,3.1233333333333335,3957.0,0.0,3.0,3.0
Armenia,2014,0.355997240929754,0.5793554627669051,119.02529750000001,9.389688324,3.4790297616587598,4150.0,4.0,2.98130868933673,99.9889755249023,98.46097010745159,4.453,9.307,0.7390000000000001,65.84,0.506,-0.218,0.92,4.833333333333333,3.084166666666666,4142.0,1.0,3.0,3.0
Armenia,2015,0.325719357451013,0.44172782844782205,118.77097649999999,9.815697904,1.68947372519458,4030.0,4.0,3.7316911926169505,100.0,98.9236524346622,4.348,9.334,0.723,66.0,0.551,-0.203,0.9009999999999999,6.166666666666667,3.7733333333333334,3775.0,1.0,3.0,3.0
Australia,2008,2.14657127926835,1.20362325009444,103.6429999,24.903370000000002,4.2903937794455205,42270.0,7.0,4.3502985499004705,100.0,99.8547500833333,7.254,10.719000000000001,0.9470000000000001,71.88,0.9159999999999999,0.305,0.431,195.08333333333334,10.874166666666666,52315.0,0.0,3.0,3.0
Australia,2010,1.69528537779197,0.755635553247212,101.71760809999999,24.90951202,3.07716051283425,46550.0,7.0,2.91834002677376,100.0,99.89190265,7.45,10.722000000000001,0.955,72.2,0.932,0.317,0.366,201.66666666666666,11.053333333333335,54887.0,0.0,3.0,3.0
Australia,2011,1.5279574161434701,0.5900165375883829,105.8238999,24.69772973,4.70169935390651,50230.0,7.0,3.3038501560874396,100.0,99.9101666666667,7.406000000000001,10.732999999999999,0.9670000000000001,72.3,0.945,0.369,0.382,199.33333333333334,11.101666666666665,66770.0,1.0,3.0,3.0
Australia,2012,1.86533013697943,1.0495029020289102,106.6434188,25.12942751,3.7287816630525694,60090.0,7.0,1.76278015613193,100.0,99.9282259166667,7.196000000000001,10.754000000000001,0.945,72.4,0.935,0.27399999999999997,0.368,215.0,11.630833333333333,72669.0,1.0,3.0,3.0
Australia,2013,1.83817579922612,1.0337714278534498,107.72878899999999,25.83503958,3.4312396567434598,65920.0,7.0,2.44988864142539,100.0,99.9460847,7.364,10.762,0.9279999999999999,72.5,0.9329999999999999,0.26899999999999996,0.43200000000000005,217.33333333333334,11.565,72856.0,0.0,3.0,3.0
Australia,2014,1.6084551017675501,0.7994226569826809,106.75337350000001,27.84277929,4.3138159382451295,65060.0,7.0,2.4879227053140296,100.0,99.95981995,7.289,10.772,0.924,72.6,0.9229999999999999,0.319,0.442,240.91666666666666,12.4225,66809.0,1.0,3.0,3.0
Australia,2015,1.55480059894141,0.74925064728382,108.27933090000002,28.68961085,3.33953163758416,60440.0,7.0,1.50836672165921,100.0,99.96870195,7.309,10.779000000000002,0.9520000000000001,72.7,0.922,0.332,0.35700000000000004,252.25,12.848333333333336,60656.0,1.0,3.0,3.0
Austria,2006,0.0158696802034512,1.17473154926458,112.0253092,17.28480151,3.12425365181615,41460.0,4.0,1.44154696188379,100.0,100.0,7.122000000000001,10.842,0.9359999999999999,70.76,0.941,0.302,0.49,108.08333333333333,18.241666666666664,42698.0,0.0,3.0,4.0
Austria,2008,-0.173990969023818,0.9885867763989801,129.7123099,20.73526108,1.4666235588623,49110.0,4.0,3.2159502295349105,100.0,100.0,7.181,10.887,0.935,71.08,0.879,0.29100000000000004,0.614,105.58333333333333,18.0375,54294.0,1.0,3.0,3.0
Austria,2010,-0.253173145767403,0.9092845404298241,145.5537959,24.38064725,-5.6152090985913095,49610.0,4.0,1.81353628033681,100.0,100.0,7.303,10.860999999999999,0.914,71.4,0.8959999999999999,0.131,0.546,105.33333333333333,17.295833333333338,49181.0,0.0,3.0,3.0
Austria,2011,-0.15892184185428399,1.00150942177741,153.93365659999998,24.79590688,5.32899744107078,50590.0,4.0,3.28658197365512,100.0,100.0,7.471,10.887,0.9440000000000001,71.54,0.9390000000000001,0.132,0.703,107.33333333333333,17.624166666666667,53923.0,0.0,3.0,3.0
Austria,2012,0.511947895650249,0.38129305159433097,159.52947959999997,25.009545000000003,1.27486772723933,50060.0,4.0,2.4856735286006804,100.0,100.0,7.401,10.889000000000001,0.945,71.68,0.92,0.11800000000000001,0.7709999999999999,106.33333333333333,17.219166666666666,50979.0,0.0,3.0,3.0
Austria,2013,0.919560199445851,0.147379069641977,154.7253124,26.02654159,0.10494193758504501,50700.0,4.0,2.00015891157196,100.0,100.0,7.499,10.883,0.95,71.82,0.922,0.168,0.679,107.58333333333333,17.676666666666666,53229.0,1.0,3.0,3.0
Austria,2014,1.11238523257782,0.33519117352653305,150.03214330000003,27.32468303,0.38741840166762503,50370.0,4.0,1.60580414549751,100.0,100.0,6.95,10.882,0.899,71.96,0.885,0.11800000000000001,0.5670000000000001,109.5,17.484999999999996,54278.0,0.0,3.0,3.0
Austria,2015,1.4490014803775702,0.675020793495077,155.2155247,28.29354818,-2.08817008219972,47490.0,4.0,0.896565315628228,100.0,100.0,7.0760000000000005,10.880999999999998,0.9279999999999999,72.1,0.9,0.099,0.557,104.25,16.218333333333334,46484.0,1.0,3.0,3.0
Azerbaijan,2007,1.51533013846802,0.7090086702372579,51.79782823,0.16734859300000002,13.900714710248401,2710.0,4.0,16.6612577660859,99.56214141845699,80.2048560337467,4.5680000000000005,9.386000000000001,0.753,62.26,0.522,-0.207,0.871,4.583333333333333,0.9858333333333335,4172.0,0.0,3.0,3.0
Bahrain,2009,6.18336292196817,5.700195971589,118.3071469,11.77296083,1.12105291032726,18830.0,6.0,2.79551283550411,100.0,99.98878509013359,5.7010000000000005,10.709000000000001,0.904,65.94,0.8959999999999999,0.037000000000000005,0.506,3.0,2.049166666666667,20988.0,1.0,5.0,5.0
Bahrain,2010,4.665996098196019,4.12102686466629,126.28318059999998,12.48422468,0.6058000457977671,18970.0,6.0,1.96188468334624,100.0,99.99887850901341,5.937,10.706,0.877,66.3,0.862,-0.001,0.715,1.5833333333333333,0.9908333333333333,22572.0,1.0,5.0,5.0
Bahrain,2011,3.03884392413877,2.43196924030767,132.49558580000001,22.80591957,2.71349353049908,18440.0,6.0,-0.401486988847566,100.0,100.0,4.824,10.696,0.9079999999999999,66.58,0.87,-0.051,0.583,1.5,1.2466666666666668,26078.0,1.0,5.0,5.0
Bahrain,2012,1.77795282523374,1.10796451113793,163.34988700000002,22.71828472,5.02346532615333,19910.0,6.0,2.7582860555389703,100.0,100.0,5.027,10.716,0.9109999999999999,66.86,0.682,-0.010250000000000002,0.43799999999999994,1.5833333333333333,0.7233333333333333,25587.0,1.0,5.0,5.0
Bahrain,2013,1.24394321988696,0.510609197201823,168.0227701,22.8108173,11.4559451796382,21710.0,6.0,3.3010061385347402,100.0,100.0,6.69,10.757,0.884,67.14,0.809,0.030499999999999992,0.525,0.4166666666666667,0.20750000000000002,26793.0,1.0,5.0,5.0
Bahrain,2014,1.67281423441557,0.8637166159951651,174.2741117,21.51845597,4.548430831191889,21010.0,6.0,2.64629146477823,100.0,100.0,6.165,10.783,0.8685,67.42,0.8295,0.07124999999999998,0.5622857142857143,0.75,0.5433333333333333,27503.0,1.0,5.0,5.0
Belarus,2007,0.166805781560358,-2.15428901139314,72.97996490000001,1.780522402,3.99161614279995,4310.0,4.0,8.42675273505313,100.0,97.9243287796977,5.617000000000001,9.576,0.858,61.4,0.667,-0.225,0.695,221.58333333333334,29.657500000000002,4898.0,0.0,3.0,3.0
Belarus,2008,0.270915781365443,-2.05485314632949,85.49192197,5.027488787,3.60068232879372,5470.0,4.0,14.8378764828254,100.0,97.93370976569281,5.462999999999999,9.677,0.904,61.7,0.64,-0.22,0.696,221.5,29.346666666666664,6601.0,0.0,3.0,3.0
